HOLE-ID,LOC_UTMX,LOC_UTMY,LOC_UTMZ,AZ_UTM,DIP,LENGTH_M,NO_DATA,DOUBTFUL_C
#1,296149.71,5331108.87,311.47,22.14,-90.00,2.28,,
#2,296156.18,5331149.01,311.60,182.31,-30.00,10.91,,
#3,296205.62,5331181.55,310.35,22.14,-45.00,5.05,,
1,294206.84,5331916.30,307.94,174.31,-46.00,158.49,,
10,294740.31,5331086.70,316.44,173.31,-43.00,39.92,,
100,294941.24,5331056.52,175.17,183.06,0.00,65.53,,
1000,295006.06,5331065.58,214.42,16.28,58.00,30.17,,
10000,294682.83,5331020.24,-91.34,182.31,80.00,7.62,,
10001,293933.49,5331124.91,-125.70,191.89,60.75,26.21,No_Litho,
10002,293941.25,5331118.04,-126.07,358.78,62.72,12.19,No_Litho,
10003,293940.81,5331116.25,-126.22,177.81,48.92,14.93,No_Litho,
10004,294577.52,5331096.52,-1322.42,176.73,3.42,22.86,,
10005,294577.33,5331099.08,-1322.12,8.73,3.42,22.25,,
10006,294699.32,5331319.02,-209.05,2.31,-90.00,44.80,,
10007,294699.32,5331319.02,-206.50,2.31,90.00,73.76,,
10008,294790.63,5330980.37,-92.10,206.97,66.00,15.24,,
10009,294806.02,5330975.05,-90.64,195.81,67.08,15.24,No_Litho,
1001,294531.84,5331085.31,214.62,17.09,65.80,38.70,,
10010,294819.52,5330984.03,-91.44,157.81,64.66,15.24,No_Litho,
10011,294356.88,5331236.54,-410.26,6.31,50.50,121.92,No_Litho,
10012,294356.75,5331235.80,-412.50,358.89,-79.83,92.04,No_Litho,
10013,294356.76,5331235.38,-410.11,177.69,79.83,121.92,No_Litho,
10014,294356.66,5331234.87,-412.38,182.31,-50.00,121.61,No_Litho,
10015,294300.76,5331217.68,-410.23,5.89,69.00,106.68,,
10016,294300.71,5331217.01,-410.09,184.89,79.42,106.37,,
10017,294300.82,5331216.98,-412.50,182.31,-75.00,78.63,,
10018,294539.59,5331428.48,-456.96,2.31,75.00,11.27,No_Litho,
10019,294539.62,5331429.10,-457.55,2.31,32.00,38.10,No_Litho,
1002,294531.41,5331084.05,214.52,197.09,60.08,42.67,,
10020,294557.63,5331436.61,-457.05,2.31,50.00,30.48,,
10021,294557.63,5331436.50,-458.84,6.54,-38.92,16.15,,
10022,294773.86,5331134.57,-1262.90,45.81,0.16,38.70,No_Litho,
10023,294773.59,5331132.43,-1262.92,139.23,3.36,15.24,No_Litho,
10024,294740.88,5331459.98,-869.52,2.31,90.00,121.92,,
10025,294740.83,5331459.98,-871.75,2.31,-90.00,121.00,,
10026,294733.11,5331434.48,-869.57,2.31,90.00,121.00,,
10027,294733.13,5331434.44,-872.09,2.31,-90.00,119.78,,
10028,294895.72,5331265.83,-947.06,2.31,0.00,7.62,No_Litho,
10029,294908.23,5331299.21,-947.19,2.31,0.00,7.62,No_Litho,
1003,294283.20,5331129.37,215.43,179.36,-61.75,38.46,,
10030,294959.40,5332186.15,-950.29,2.31,0.00,7.62,,
10031,294376.19,5331211.89,-639.08,169.06,59.07,22.86,,
10032,294358.14,5331202.16,-628.24,92.31,-70.00,7.62,No_Litho,
10033,294909.09,5331226.82,-503.46,2.31,62.00,53.64,No_Litho,
10034,294640.17,5331256.37,-643.35,186.31,-78.00,46.02,No_Litho,
10035,294672.79,5331252.96,-643.19,5.24,-68.30,76.50,,
10036,294700.81,5331300.63,-643.35,2.31,70.00,47.54,,
10037,294713.57,5331236.49,-643.28,182.23,-65.30,67.97,,
10038,294640.23,5331256.93,-641.23,6.31,72.00,44.50,No_Litho,
10039,294636.33,5331183.61,-972.91,182.31,0.00,38.10,No_Litho,
1004,294283.17,5331129.09,215.74,182.08,-34.12,50.29,,
10040,294153.06,5331196.12,-345.17,2.31,-70.00,19.50,,
10041,294152.78,5331196.04,-342.65,2.31,50.00,22.86,,
10042,294153.12,5331193.83,-344.63,182.31,-30.00,22.86,,
10043,294152.86,5331195.06,-342.74,182.31,75.00,22.55,,
10044,294197.39,5331208.33,-341.73,182.31,75.00,22.55,,
10045,294218.32,5331210.62,-346.24,182.31,60.00,23.16,,
10046,294690.84,5331008.60,-55.79,182.31,-40.00,53.34,,
10047,294690.85,5331008.43,-55.41,182.39,-20.18,15.24,,
10048,294690.90,5331010.54,-53.73,2.31,60.00,16.15,,
10049,294718.95,5331006.40,-53.73,74.31,0.00,76.20,,
1005,294372.91,5331088.58,215.75,185.68,84.38,22.86,,
