HOLE-ID,FROM_M,TO_M,CODE_IE
10005,0.00,0.91,CIS
10007,32.00,33.52,CIS
10007,44.80,45.72,CIS
10007,48.15,50.29,CIS
10008,11.88,13.10,CIS
10015,7.62,8.83,CIS
10015,32.61,33.07,CIS
10015,58.21,58.82,CIS
10016,47.70,48.46,CIS
10016,60.04,60.96,CIS
10017,0.00,2.28,CIS
10017,64.77,69.18,CIS
10024,12.19,15.24,CIS
10024,18.28,26.51,CIS
10024,35.35,38.40,CIS
10024,50.29,53.34,CIS
10025,18.28,19.81,CIS
10025,38.70,121.00,CIS
10027,19.81,22.55,CIS
10027,51.51,53.94,CIS
10031,1.06,1.37,CIS
10036,38.89,39.07,CIS
10041,4.11,12.49,CIS
10042,0.00,5.02,CIS
10046,0.00,12.49,CIS
10048,0.30,3.04,CIS
10049,0.00,10.66,CIS
10049,28.04,28.95,CIS
10049,40.23,40.84,CIS
10050,35.50,37.18,CIS
10055,10.66,38.70,CIS
10055,38.70,42.67,CIS
10056,0.00,9.75,CIS
10057,0.00,7.62,CIS
10058,0.00,4.87,CIS
10072,8.83,9.75,CIS
10078,28.95,33.52,CIS
10080,76.20,76.80,CIS
10087,21.33,22.86,CIS
10088,17.37,29.80,CIS
10094,3.04,3.50,CIS
10097,12.49,14.02,CIS
10098,21.33,22.86,CIS
10099,0.00,0.60,CIS
10099,6.70,8.22,CIS
10099,26.36,26.67,CIS
10099,42.61,46.32,CIS
10099,51.20,51.66,CIS
10099,56.99,57.75,CIS
10099,62.17,62.94,CIS
10099,62.94,65.07,CIS
10099,68.64,68.88,CIS
10101,3.81,5.18,CIS
10101,7.62,13.71,CIS
10102,4.11,4.20,FAI
10102,4.20,4.57,CIS
10102,12.49,13.86,CIS
10102,20.11,20.14,FAI
10102,35.66,37.03,CIS
10102,38.55,39.01,CIS
10102,39.77,40.08,CIS
10102,51.96,52.42,CIS
10102,55.47,55.62,CIS
10102,65.98,66.14,CIS
10102,94.88,96.10,CIS
10104,24.23,30.48,CIS
10104,55.16,56.99,CIS
10104,58.52,59.28,CIS
10106,4.66,5.33,CIS
10117,32.61,34.13,CIS
10119,17.83,20.11,CIS
10119,20.87,23.16,CIS
10119,28.95,35.35,CIS
10122,34.29,36.88,CIS
10135,9.75,10.05,CIS
10135,13.71,14.02,CIS
10142,8.68,9.90,CIS
10143,14.02,14.32,CIS
10176,0.00,0.30,CIS
10176,4.57,5.48,CIS
10176,6.40,8.53,CIS
10177,67.51,68.12,CIS
10177,79.55,79.85,CIS
10177,110.49,121.92,CIS
10178,94.18,95.09,CIS
10179,0.00,0.60,CIS
10179,3.35,4.11,CIS
10179,70.40,71.32,CIS
10181,0.00,2.13,CIS
10182,2.59,6.85,CIS
10182,37.94,38.70,CIS
10182,71.17,71.47,CIS
10184,9.29,9.90,CIS
10184,12.49,12.80,CIS
10185,0.00,3.04,CIS
10185,5.94,6.24,CIS
10193,0.00,2.28,CIS
10193,4.87,5.33,CIS
10193,32.91,33.22,CIS
10194,34.44,37.49,CIS
10194,39.92,40.84,CIS
10194,47.54,48.15,CIS
10194,50.29,51.81,CIS
10194,65.98,66.29,CIS
10194,69.64,72.23,CIS
10196,26.67,28.34,CIS
10198,0.00,0.76,CIS
10198,7.92,8.22,CIS
10198,8.53,8.83,CIS
10198,27.27,28.19,CIS
10198,36.57,47.39,CIS
10199,0.00,0.76,CIS
10199,2.13,2.43,CIS
10199,6.85,7.62,CIS
10199,7.62,13.65,CIS
10199,13.80,31.08,CIS
10201,0.00,8.68,CIS
10201,8.68,10.05,CIS
10201,13.86,15.30,CIS
10201,16.61,21.64,CIS
10203,8.53,9.14,CIS
10203,13.71,14.63,CIS
10203,37.64,46.32,CIS
10203,48.76,49.37,CIS
10208,19.81,21.33,CIS
10208,27.12,27.73,CIS
10208,35.05,36.27,CIS
10210,5.33,5.79,CIS
10210,115.51,115.82,CIS
10211,0.00,1.21,CIS
10211,62.17,62.48,CIS
10211,66.29,66.59,CIS
10211,86.86,89.91,CIS
10212,0.00,0.45,CIS
10214,0.00,7.62,CIS
10214,15.24,15.69,CIS
10214,43.89,52.73,CIS
10214,54.55,57.91,CIS
10214,60.04,62.17,CIS
10216,14.32,15.54,CIS
10216,22.25,22.55,CIS
10216,42.06,43.28,CIS
10217,23.16,24.23,CIS
10217,27.43,30.48,CIS
10217,36.88,37.49,CIS
10220,4.78,5.33,CIS
10220,8.22,9.14,CIS
10220,9.60,10.05,CIS
10220,17.06,19.05,CIS
10220,25.29,27.27,CIS
10221,6.40,7.31,CIS
10221,20.42,21.64,CIS
10222,0.00,2.28,CIS
10222,16.15,16.45,CIS
10222,26.51,26.82,CIS
10222,27.73,28.34,CIS
10223,2.59,2.89,CIS
10223,5.79,6.40,CIS
10223,25.90,26.51,CIS
10223,28.19,31.69,CIS
10224,26.67,31.08,CIS
10224,38.86,39.77,CIS
10235,1.52,2.43,CIS
10235,3.65,4.72,CIS
10235,5.02,6.70,CIS
10235,23.92,24.23,CIS
10235,25.75,26.36,CIS
10235,30.63,31.08,CIS
10235,37.03,37.49,CIS
10235,40.08,40.69,CIS
10235,81.53,81.99,CIS
10235,85.95,87.17,CIS
10235,106.07,106.98,CIS
10235,145.99,146.30,CIS
10235,147.52,149.96,CIS
10236,0.00,0.60,CIS
10236,5.02,6.09,CIS
10236,8.83,10.05,CIS
10236,10.66,12.19,CIS
10236,20.57,21.03,CIS
10236,22.55,22.86,CIS
10236,23.77,24.07,CIS
10236,32.30,32.91,CIS
10237,0.00,5.79,CIS
10238,69.79,70.10,CIS
10238,98.45,99.06,CIS
10238,113.53,113.84,CIS
10238,198.72,199.33,CIS
10244,25.29,25.60,CIS
10244,35.20,35.50,CIS
10244,37.79,38.10,CIS
10244,40.53,40.84,CIS
10244,61.72,62.33,CIS
10245,12.49,13.25,CIS
10246,49.37,49.68,CIS
10246,74.52,75.28,CIS
10246,77.11,77.57,CIS
10246,123.90,124.35,CIS
10247,14.17,14.47,CIS
10248,29.26,29.71,CIS
10249,24.38,25.90,CIS
10249,70.25,70.56,CIS
10249,72.08,72.23,CIS
10249,75.28,75.59,CIS
10250,12.49,12.95,CIS
10250,16.15,16.45,CIS
10250,42.06,46.02,CIS
10250,58.52,59.13,CIS
10250,61.72,62.17,CIS
10250,100.58,102.10,CIS
10255,41.91,42.36,CIS
10257,35.81,36.42,CIS
10257,40.53,41.30,CIS
10257,44.34,44.80,CIS
10258,8.07,9.14,CIS
10261,0.00,1.52,CIS
10261,13.41,13.71,CIS
10262,0.00,0.76,CIS
10262,8.83,12.13,CIS
10262,15.84,18.28,CIS
10266,6.85,7.62,CIS
10266,15.69,17.37,CIS
10267,8.22,8.38,CIS
10274,3.65,4.11,CIS
10274,5.48,7.31,CIS
10275,0.00,1.58,CIS
10275,2.13,2.89,CIS
10275,5.48,6.09,CIS
10276,7.31,7.62,CIS
10276,15.69,24.07,CIS
10277,3.04,3.50,CIS
10277,10.05,10.66,CIS
10277,14.63,17.37,CIS
10277,17.83,18.28,CIS
10277,19.50,21.18,CIS
10278,0.00,6.09,CIS
10278,17.73,17.98,CIS
10278,17.98,18.44,CIS
10278,20.11,20.42,CIS
10278,35.05,44.80,CIS
10279,5.18,5.48,CIS
10279,22.86,24.99,CIS
10279,28.34,32.76,CIS
10279,46.02,52.12,CIS
10280,40.84,41.14,CIS
10280,105.76,106.68,CIS
10280,147.52,148.13,CIS
10280,676.80,677.11,CIS
10280,687.01,705.61,CIS
10280,735.17,744.93,CIS
10280,821.43,826.00,CIS
10280,893.36,893.67,CIS
10280,899.76,919.73,CIS
10280,929.64,940.61,CIS
10287,9.75,10.05,CIS
10287,24.99,25.29,CIS
10287,34.29,34.74,CIS
10288,0.00,0.60,CIS
10288,4.11,5.33,CIS
10291,1.82,2.43,CIS
10291,6.70,7.01,CIS
10291,7.01,7.62,CIS
10292,4.87,9.44,CIS
10296,34.59,36.27,CIS
10296,50.29,53.64,CIS
10297,0.00,1.98,CIS
10297,65.83,66.14,CIS
10298,0.60,1.06,CIS
10298,9.60,10.51,CIS
10298,16.00,16.30,CIS
10298,26.21,27.27,CIS
10298,32.46,32.76,CIS
10298,35.50,35.66,CIS
10298,42.00,42.12,CIS
10298,71.32,76.20,CIS
10301,27.73,27.88,CIS
10301,32.61,33.07,CIS
10301,50.13,50.74,CIS
10301,74.67,75.28,CIS
10302,0.00,1.21,CIS
10302,4.87,7.92,CIS
10302,8.07,9.44,CIS
10302,19.20,19.81,CIS
