HOLE-ID,DIST_M,AZ_UTM,DIP
#1,0.00,22.14,-90.00
#2,0.00,182.31,-30.00
#3,0.00,22.14,-45.00
1,0.00,174.31,-46.00
10,0.00,173.31,-43.00
10,30.48,173.31,-47.00
100,0.00,183.06,0.00
1000,0.00,15.31,58.00
10000,0.00,182.31,80.00
10001,0.00,191.89,60.75
10002,0.00,358.78,62.72
10003,0.00,177.81,48.92
10004,0.00,176.73,3.42
10005,0.00,8.73,3.42
10006,0.00,2.31,-90.00
10007,0.00,2.31,90.00
10008,0.00,206.97,66.00
10009,0.00,195.81,67.08
1001,0.00,17.09,65.80
10010,0.00,157.81,64.66
10011,0.00,6.31,50.50
10011,106.68,6.31,40.00
10012,0.00,358.89,-79.83
10012,88.39,358.89,-77.00
10013,0.00,177.69,79.83
10013,91.44,177.69,78.00
10014,0.00,182.31,-50.00
10014,106.68,182.31,-36.00
10015,0.00,5.89,69.00
10015,76.20,5.89,50.00
10016,0.00,184.89,79.42
10016,103.63,184.89,78.00
10017,0.00,182.31,-75.00
10017,76.20,182.31,-62.00
10018,0.00,2.31,75.00
10019,0.00,2.31,32.00
1002,0.00,197.09,60.08
10020,0.00,2.31,50.00
10021,0.00,6.54,-38.92
10022,0.00,45.81,0.16
10023,0.00,139.23,3.36
10024,0.00,2.31,90.00
10024,60.96,2.31,83.00
10025,0.00,2.31,-90.00
10025,115.82,2.31,-77.00
10026,0.00,2.31,90.00
10026,103.63,12.31,80.00
10027,0.00,2.31,-90.00
10027,100.58,182.31,-85.00
10028,0.00,2.31,0.00
10029,0.00,2.31,0.00
1003,0.00,179.36,-61.75
10030,0.00,2.31,0.00
10031,0.00,169.06,59.07
10032,0.00,92.31,-70.00
10033,0.00,2.31,62.00
10034,0.00,186.31,-78.00
10035,0.00,5.24,-68.30
10036,0.00,2.31,70.00
10037,0.00,182.23,-65.30
10038,0.00,6.31,72.00
10039,0.00,182.31,0.00
1004,0.00,182.08,-34.12
10040,0.00,2.31,-70.00
10041,0.00,2.31,50.00
10042,0.00,182.31,-30.00
10043,0.00,182.31,75.00
10044,0.00,182.31,75.00
10045,0.00,182.31,60.00
10046,0.00,182.31,-40.00
10046,45.72,182.31,-30.00
10047,0.00,182.39,-20.18
10048,0.00,2.31,60.00
10049,0.00,2.31,72.00
10049,70.10,2.31,58.00
1005,0.00,185.68,84.38
10050,0.00,183.81,-29.66
10051,0.00,182.31,0.00
10052,0.00,2.31,22.50
10053,0.00,2.31,42.50
10054,0.00,2.31,50.00
10055,0.00,5.89,87.50
10056,0.00,179.89,-72.50
10057,0.00,360.23,81.00
10058,0.00,180.31,-76.33
10059,0.00,10.56,85.00
1006,0.00,182.73,-11.00
10060,0.00,2.31,-87.00
10061,0.00,2.31,85.00
10062,0.00,188.74,71.08
10062,94.48,188.74,55.50
10063,0.00,182.31,-60.00
10063,99.06,182.31,-43.00
10064,0.00,2.31,87.00
10065,0.00,182.31,-85.00
10066,0.00,2.31,87.00
10067,0.00,2.31,77.00
10067,57.91,2.31,51.00
10068,0.00,2.31,-77.00
10068,76.20,2.31,-76.00
10069,0.00,185.29,56.32
10069,60.96,185.29,25.00
1007,0.00,184.68,-45.17
10070,0.00,182.31,-57.00
10070,50.29,182.31,-53.00
10071,0.00,182.31,-82.00
10072,0.00,182.31,0.00
10073,0.00,182.31,70.00
10074,0.00,2.31,-65.00
10075,0.00,182.31,65.00
10076,0.00,2.31,90.00
10076,15.24,2.31,90.00
10077,0.00,2.31,-90.00
10078,0.00,6.16,59.62
10079,0.00,6.18,-69.25
10079,83.82,6.18,-82.00
1008,0.00,177.38,-69.00
10080,0.00,182.31,80.00
10080,83.82,182.31,86.00
10081,0.00,182.31,-60.00
10082,0.00,182.31,65.00
10083,0.00,2.31,-65.00
10084,0.00,2.31,65.00
10085,0.00,2.31,87.00
10086,0.00,182.31,62.00
10087,0.00,182.31,-87.00
10088,0.00,2.31,77.00
10089,0.00,182.14,48.50
1009,0.00,219.31,0.00
10090,0.00,174.41,-70.75
10090,118.87,174.41,-67.00
10091,0.00,182.31,64.33
10091,79.24,182.31,58.00
10092,0.00,2.31,67.00
10092,82.29,2.31,49.00
10092,85.34,2.31,48.00
10093,0.00,2.31,-64.33
10093,97.53,2.31,-55.00
10094,0.00,182.73,47.10
10095,0.00,182.31,50.00
10096,0.00,178.97,-79.33
10096,147.82,178.97,-60.50
10097,0.00,360.28,79.83
10098,0.00,180.23,-79.83
10099,0.00,6.23,55.25
10099,88.39,6.23,51.00
101,0.00,34.44,0.00
1010,0.00,42.81,0.00
10100,0.00,4.23,-61.42
10101,0.00,185.06,62.70
10102,0.00,186.21,-55.25
10102,117.34,186.21,-38.00
10103,0.00,182.31,-82.00
10104,0.00,2.31,80.00
10104,67.05,2.31,64.00
10105,0.00,178.66,60.02
10106,0.00,178.66,15.00
10107,0.00,182.31,-60.00
10107,85.34,182.31,-52.00
10108,0.00,182.31,40.00
10109,0.00,152.06,42.25
1011,0.00,172.31,58.00
10110,0.00,5.64,58.85
10110,68.58,5.64,37.00
10111,0.00,190.56,71.75
10112,0.00,2.31,-90.00
10113,0.00,168.21,-72.37
10114,0.00,118.73,-41.85
10115,0.00,2.81,-27.48
10116,0.00,248.93,-39.35
10117,0.00,175.51,0.10
10118,0.00,3.29,-59.25
10118,88.39,3.29,-56.00
10119,0.00,360.58,38.92
1012,0.00,350.31,49.00
10120,0.00,5.89,-64.00
10120,57.91,5.89,-60.00
10121,0.00,2.31,54.00
10122,0.00,222.39,1.50
10123,0.00,2.31,82.00
10124,0.00,182.31,0.00
10125,0.00,182.31,0.00
10126,0.00,182.31,-87.00
10127,0.00,2.31,87.00
10128,0.00,182.31,-87.00
10129,0.00,2.31,87.00
1013,0.00,182.31,0.00
10130,0.00,2.31,-90.00
10131,0.00,2.31,90.00
10132,0.00,2.31,90.00
10133,0.00,2.31,-90.00
10134,0.00,159.81,54.60
10135,0.00,267.73,51.85
10136,0.00,183.21,1.00
10136,220.98,183.21,-6.00
10137,0.00,3.84,0.83
10137,243.84,3.84,1.50
10138,0.00,182.31,0.00
10139,0.00,2.31,0.00
1014,0.00,181.31,-74.00
10140,0.00,2.31,-30.00
10141,0.00,2.31,45.00
10142,0.00,2.31,-90.00
10143,0.00,2.31,-90.00
10144,0.00,2.31,-90.00
10145,0.00,182.31,-86.00
10146,0.00,11.91,81.12
10147,0.00,191.91,-81.12
10148,0.00,2.31,83.00
10149,0.00,2.31,-90.00
1015,0.00,2.31,90.00
10150,0.00,2.31,-90.00
10151,0.00,2.31,80.00
10152,0.00,4.31,65.00
10153,0.00,2.31,87.00
10154,0.00,5.24,76.77
10154,57.91,5.24,65.00
10155,0.00,185.23,-76.75
10156,0.00,2.31,45.00
10157,0.00,182.91,46.25
10158,0.00,353.81,56.16
10159,0.00,159.41,61.83
1016,0.00,181.73,58.65
10160,0.00,182.31,80.00
10160,100.58,182.31,80.50
10161,0.00,182.31,30.00
10162,0.00,182.31,-60.00
10163,0.00,8.11,78.15
10163,99.06,8.11,65.00
10164,0.00,9.01,-79.30
10164,109.72,9.01,-79.00
10165,0.00,182.31,-90.00
10165,60.96,182.31,-88.00
10165,121.92,182.31,-87.00
10165,182.88,182.31,-82.50
10165,243.84,182.31,-82.50
10165,304.80,182.31,-76.00
10165,365.76,182.31,-76.00
10166,0.00,2.31,-90.00
10166,60.96,2.31,-89.50
10166,106.68,2.31,-90.00
10167,0.00,2.31,-50.00
10167,60.96,2.31,-42.00
10167,121.92,2.31,-34.00
10167,182.88,2.31,-17.00
10167,243.84,2.31,-2.50
10167,297.18,361.31,2.00
10168,0.00,2.31,-55.00
10168,121.92,5.59,-53.00
10168,182.88,7.23,-41.50
10168,243.84,8.87,-34.50
10168,297.18,10.31,-30.00
10169,0.00,182.31,-57.00
10169,60.96,181.81,-46.00
10169,121.92,181.31,-41.00
10169,182.88,180.81,-34.00
10169,243.84,180.30,-26.00
10169,364.23,179.31,-20.00
1017,0.00,4.11,75.13
10170,0.00,2.31,-60.00
10170,60.96,2.31,-59.00
10170,121.92,2.31,-57.00
10170,182.88,2.31,-51.50
10170,243.84,2.31,-53.00
10170,301.75,2.31,-50.00
10170,352.04,2.31,-35.00
10170,365.76,2.31,-36.00
10171,0.00,182.31,-60.00
10171,60.96,179.34,-53.00
10171,121.92,176.38,-41.00
10171,182.88,173.41,-37.00
10171,243.84,170.44,-30.00
10171,304.80,167.48,-26.00
10171,349.30,165.81,-23.00
10172,0.00,4.81,-14.58
10173,0.00,2.31,79.00
10174,0.00,2.31,-88.00
10175,0.00,182.31,-72.00
10176,0.00,358.38,43.50
10176,60.96,358.38,38.00
10177,0.00,359.93,67.30
10177,106.68,359.93,51.00
10178,0.00,9.38,-71.17
10178,91.44,9.38,-60.00
10179,0.00,2.31,-82.00
10179,76.20,2.31,-78.00
1018,0.00,2.31,90.00
10180,0.00,2.31,80.00
10181,0.00,359.06,-51.42
10182,0.00,5.96,69.30
10182,115.82,5.96,45.00
10183,0.00,178.14,70.25
10184,0.00,350.39,49.46
10185,0.00,356.81,-64.42
10186,0.00,3.73,2.08
10187,0.00,187.01,34.75
10188,0.00,178.31,28.50
10188,73.15,178.31,26.00
10189,0.00,181.34,-32.75
10189,74.67,181.34,-28.00
1019,0.00,2.31,90.00
10190,0.00,182.31,55.00
10191,0.00,182.31,65.00
10192,0.00,358.16,-3.25
10193,0.00,177.43,-0.55
10194,0.00,4.64,63.42
10194,117.34,4.64,48.50
10195,0.00,2.31,83.00
10196,0.00,182.31,-70.00
10197,0.00,181.78,-43.42
10197,83.82,181.78,-34.00
10198,0.00,2.31,70.00
10198,94.48,2.31,47.00
10199,0.00,5.53,77.60
102,0.00,154.31,0.00
1020,0.00,2.31,90.00
10200,0.00,182.31,0.00
10201,0.00,182.31,-46.95
10201,60.65,182.31,-39.00
10202,0.00,180.56,31.20
10203,0.00,183.97,30.30
10204,0.00,180.56,28.40
10205,0.00,187.26,28.00
10205,45.72,187.26,12.50
10206,0.00,6.39,44.16
10207,0.00,182.56,43.72
10208,0.00,2.31,-90.00
10208,128.01,2.31,-81.00
10209,0.00,2.31,90.00
1021,0.00,2.31,90.00
10210,0.00,2.31,65.00
10210,115.82,2.31,33.00
10211,0.00,361.81,68.75
10211,109.72,361.81,47.50
10212,0.00,2.31,90.00
10212,59.13,2.31,75.00
10213,0.00,2.31,-90.00
10213,132.58,2.31,-79.50
10214,0.00,182.31,-65.00
10214,114.30,182.31,-43.34
10215,0.00,359.81,4.83
10216,0.00,175.59,75.00
10217,0.00,175.59,-48.25
10217,104.85,175.59,-39.00
10218,0.00,358.81,-1.00
10219,0.00,178.81,1.00
1022,0.00,175.94,30.25
10220,0.00,361.96,0.00
10221,0.00,183.96,0.00
10222,0.00,361.13,-67.70
10222,112.77,361.13,-53.50
10223,0.00,181.13,67.70
10223,109.72,181.13,62.00
10224,0.00,182.31,-70.00
10224,60.96,182.31,-55.00
10225,0.00,2.31,90.00
10226,0.00,270.06,44.32
10227,0.00,358.13,73.17
10227,60.96,358.13,53.00
10227,121.92,358.13,42.00
10227,167.64,358.13,40.00
10228,0.00,2.31,-79.52
10228,60.96,2.31,-82.00
10228,121.92,2.31,-83.00
10228,182.88,2.31,-85.00
10229,0.00,182.31,79.52
10229,60.96,182.31,81.00
10229,121.92,182.31,82.00
10229,167.64,182.31,83.00
1023,0.00,284.66,77.08
10230,0.00,179.78,-72.65
10230,60.96,179.78,-61.00
10230,121.92,179.78,-49.00
10230,182.88,179.78,-38.50
10231,0.00,361.28,75.38
10231,60.96,361.28,65.50
10231,117.34,361.28,57.00
10231,149.35,361.28,57.00
10232,0.00,359.88,-73.10
10232,73.15,359.88,-71.00
10232,143.25,359.88,-66.00
10233,0.00,179.88,73.10
10233,60.96,179.88,72.00
10233,134.11,179.88,72.00
10234,0.00,180.34,-75.38
10234,60.96,180.34,-63.00
10234,121.92,180.34,-61.00
10234,176.78,180.34,-48.50
10235,0.00,2.31,70.00
10235,74.67,2.31,62.00
10235,147.82,2.31,51.00
10-2355-1,0.00,3.36,0.31
10-2355-1A,0.00,185.53,0.48
10-2355-1A,45.72,182.31,-1.50
10-2355-2,0.00,183.22,-45.14
10-2355-2,45.72,184.01,-43.60
10-2355-3,0.00,3.78,-44.07
10236,0.00,2.31,-77.00
10236,74.67,2.31,-80.00
10236,149.35,2.31,-86.00
10237,0.00,183.23,79.20
10237,60.96,183.23,81.50
10237,121.92,183.23,83.50
10238,0.00,186.33,-70.42
10238,60.96,186.33,-62.00
10238,135.63,186.33,-55.00
10238,198.12,186.33,-52.50
1024,0.00,182.31,82.77
10240,0.00,182.56,-78.50
10241,0.00,182.31,-90.00
10241,60.96,182.31,-88.50
10241,121.92,182.31,-83.00
10241,182.88,182.31,-77.50
10241,243.84,182.31,-63.50
10241,292.30,182.31,-62.00
10-2415-1,0.00,182.29,0.17
10-2415-1,36.57,185.51,0.90
10-2415-2,0.00,361.65,-0.38
10-2415-3,0.00,287.71,-90.00
10-2415-3,42.67,287.71,-88.40
10242,0.00,190.31,-90.00
10242,60.96,183.30,-86.00
10242,147.82,173.31,-87.00
10243,0.00,190.31,-70.00
10243,60.96,188.74,-67.00
10243,121.92,187.16,-52.00
10243,154.83,186.31,-47.00
10244,0.00,358.44,-69.10
10244,146.30,358.44,-64.00
10245,0.00,178.44,69.10
10246,0.00,181.73,68.62
10246,144.78,181.73,50.00
10247,0.00,358.99,-78.83
10247,99.06,358.99,-83.00
10-2475-1,0.00,180.37,-0.29
10-2475-1,45.72,185.21,0.80
10-2475-2,0.00,240.11,-90.00
10-2475-2,30.48,240.11,-88.60
10-2475-3,0.00,182.31,-45.00
10-2475-4,0.00,359.93,2.43
10-2475-4,33.52,2.81,0.40
10-2475-5,0.00,173.71,-90.00
10-2475-5,30.48,173.71,-87.70
10-2475-6,0.00,362.05,-40.92
10248,0.00,360.53,70.12
10249,0.00,182.74,53.16
10249,76.20,182.74,37.00
10-2490-1,0.00,48.60,0.00
10-2490-2,0.00,353.35,0.00
10-2490-3,0.00,317.38,0.00
1025,0.00,355.71,58.73
10250,0.00,189.63,-63.68
10250,96.01,189.63,-51.75
10251,0.00,7.68,70.75
10252,0.00,355.18,-71.62
10252,82.29,355.18,-73.50
10-2520-1,0.00,362.31,-45.00
10-2520-1,45.72,4.01,-43.90
10-2520-1,91.44,3.61,-42.60
10-2520-2,0.00,362.31,-70.00
10-2520-2,45.72,6.61,-69.40
10-2520-2,91.44,4.91,-68.90
10-2520-2,152.40,3.91,-68.00
10253,0.00,182.64,72.25
10-2535-1,0.00,180.33,1.26
10-2535-1,39.62,180.33,0.00
10-2535-2,0.00,179.59,-32.32
10-2535-2,32.00,181.11,-34.40
10-2535-2,60.96,184.21,-33.70
10-2535-3,0.00,2.83,0.62
10-2535-4,0.00,359.56,-58.36
10-2535-4,39.62,359.51,-61.10
10254,0.00,184.46,-72.40
10254,83.82,184.46,-49.50
10255,0.00,2.31,82.00
10256,0.00,273.31,42.00
10257,0.00,88.03,43.88
10258,0.00,181.76,60.90
10-2580-1,0.00,7.81,-29.90
10-2580-1,45.72,362.31,-28.90
10-2580-2,0.00,3.21,-19.60
10-2580-2,45.72,361.91,-20.30
10-2580-3,0.00,2.96,-49.40
10-2580-3,30.48,362.31,-50.20
10-2580-4,0.00,358.60,-58.97
10-2580-4,25.90,3.41,-59.70
10-2580-4,56.38,5.51,-59.90
10-2580-4,86.86,7.31,-59.80
10-2580-5,0.00,182.41,-70.00
10-2580-5,30.48,188.61,-67.90
10-2580-5,60.96,189.41,-67.20
10-2580-5,91.44,189.11,-66.50
10259,0.00,2.31,0.00
10-2595-1,0.00,182.31,-75.00
10-2595-2,0.00,187.26,-41.30
10-2595-2,64.00,178.31,-41.30
10-2595-3,0.00,169.31,-50.70
10-2595-3,42.67,169.31,-50.70
10-2595-3A,0.00,361.96,-48.10
10-2595-3A,30.48,360.51,-48.10
10-2595-4,0.00,182.31,-80.00
10-2595-4A,0.00,11.68,-87.00
10-2595-4A,67.05,11.68,-87.00
10-2595-5,0.00,182.83,-0.90
10-2595-5,45.72,186.51,-0.90
1026,0.00,181.06,79.37
10260,0.00,182.31,28.00
10261,0.00,2.99,2.53
10262,0.00,176.69,28.48
10263,0.00,156.34,26.10
10264,0.00,337.89,3.07
10-2640-1,0.00,240.31,-35.00
10-2640-2,0.00,362.31,-90.00
10265,0.00,352.11,2.80
10266,0.00,196.84,28.03
10267,0.00,182.31,45.78
10-2670-1,0.00,211.31,-52.00
10-2670-1,30.48,218.31,-51.80
10-2670-1,60.96,219.41,-51.60
10-2670-1,91.44,218.11,-51.10
10-2670-2,0.00,204.31,-32.00
10-2670-2,45.72,207.61,-32.20
10-2670-3,0.00,194.31,-58.00
10-2670-3,30.48,207.21,-58.60
10-2670-3,60.96,207.41,-57.20
10-2670-3,91.44,209.31,-56.80
10-2670-4,0.00,178.31,-71.00
10-2670-4,30.48,181.51,-71.00
10-2670-4,60.96,178.61,-68.20
10-2670-4,91.44,178.61,-69.00
10-2670-5,0.00,176.31,-32.00
10-2670-5,30.48,162.21,-31.50
10-2670-5,45.72,162.21,-32.00
10-2670-6,0.00,151.62,-79.00
10-2670-6,60.96,158.01,-75.90
10-2670-6,91.44,163.31,-74.90
10-2670-6,106.68,163.31,-79.90
10-2670-7,0.00,166.31,-67.00
10-2670-7,30.48,165.91,-66.20
10-2670-7,60.96,166.51,-63.70
10-2670-8,0.00,362.31,-90.00
10268,0.00,183.08,74.22
10268,83.82,183.08,66.00
10-2685-1,0.00,362.31,-90.00
10269,0.00,2.31,-80.00
10269,59.13,2.31,-85.00
1027,0.00,192.06,68.70
10270,0.00,182.31,-80.00
10270,109.72,182.31,-67.00
10-2700-3,0.00,362.31,-90.00
10271,0.00,13.04,-83.40
10271,67.05,13.04,-86.00
10-2715-1,0.00,362.31,-90.00
10272,0.00,182.31,-80.00
10272,117.95,182.31,-61.00
10273,0.00,182.31,-55.00
10273,44.19,182.31,-50.00
10274,0.00,2.31,0.00
10275,0.00,182.31,0.00
10276,0.00,2.31,47.00
10-2760-1,0.00,346.66,60.00
10-2760-2,0.00,157.68,90.00
10-2760-2,27.43,156.51,86.90
10-2760-3,0.00,184.13,50.00
10-2760-3,33.52,190.31,49.00
10-2760-4,0.00,181.35,-50.00
10-2760-4,45.72,181.71,-48.00
10-2760-4,91.44,181.41,-46.00
10-2760-5,0.00,182.31,-90.00
10-2760-5,45.72,175.01,-86.90
10-2760-5,91.44,175.61,-88.40
10-2760-5,137.16,177.71,-88.60
10-2760-5,182.88,179.61,-88.20
10-2760-6,0.00,6.56,-75.00
10-2760-6,45.72,11.61,-77.50
10-2760-6,76.20,14.51,-77.20
10277,0.00,184.23,46.02
10278,0.00,184.04,-40.02
10279,0.00,186.26,62.80
1028,0.00,191.31,74.25
10280,0.00,17.47,-2.57
10280,60.96,17.47,-0.50
10280,121.92,17.48,2.50
10280,176.47,17.48,5.00
10280,243.84,12.67,9.00
10280,304.80,8.31,9.00
10280,365.76,8.04,12.50
10280,396.24,7.90,13.00
10280,426.72,7.76,14.00
10280,457.20,7.63,14.00
10280,487.68,7.49,15.50
10280,518.16,7.35,16.00
10280,527.30,7.31,16.00
10280,548.64,7.31,16.50
10280A,0.00,182.31,14.00
10280A,528.52,182.31,16.50
